title,Average,HateSpeech,Offensive,Pure,HateSpeechnum,Offensivenum,Purenum,full_title,synopsis,tomatometerscore,audiencescore,genre,director,writer,theater_date,dvd/streaming_date,box_office,runtime,Distributor,Collection
election,3.575,0.0,2.6,3.9,0.0,5.0,15.0,Election,"Jim McAllister (Matthew Broderick), a well-liked high school government teacher, can't help but notice that successful student Tracy Flick (Reese Witherspoon) uses less than ethical tactics to get what she wants. When Tracy runs for school president, Jim feels that she will be a poor influence on the student body and convinces Paul, a dim-witted but popular student athlete, to run against Tracy. When she becomes aware of Jim's secret involvement in the race, a bitter feud is sparked.",92,79,Comedy,AlexanderPayne,TomPerrotta|AlexanderPayne|JimTaylor,"May7,1999","May15,2012",$14.9M,1h43m,ParamountPictures|MTVProductions,
enter_the_dragon,4.2,0.0,4.0,4.235294117647059,0.0,3.0,17.0,Enter the Dragon,Bruce Lee plays a martial-arts expert determined to help capture the narcotics dealer whose gang was responsible for the death of his sister. Lee enters a kung fu competition in an attempt to fight his way to the dealer's headquarters with the help of some friends.,88,91,Action|Adventure,RobertClouse,MichaelAllin,"Jan1,1973","Jun30,1998",,1h39m,WarnerBros.Pictures,
eternal_sunshine_of_the_spotless_mind,4.2,0.0,4.5,4.0,0.0,8.0,12.0,Eternal Sunshine of the Spotless Mind,"After a painful breakup, Clementine (Kate Winslet) undergoes a procedure to erase memories of her former boyfriend Joel (Jim Carrey) from her mind. When Joel discovers that Clementine is going to extremes to forget their relationship, he undergoes the same procedure and slowly begins to forget the woman that he loved. Directed by former music video director Michel Gondry, the visually arresting film explores the intricacy of relationships and the pain of loss.",92,94,Romance|Sci-fi,MichelGondry,CharlieKaufman|MichelGondry,"Mar19,2004","Sep28,2004",$34.1M,1h48m,FocusFeatures,
evil_dead_2_dead_by_dawn,4.625,0.0,4.666666666666667,4.607142857142857,0.0,6.0,14.0,Evil Dead 2,"The second of three films in the Evil Dead series is part horror, part comedy, with Ash Williams (Bruce Campbell) once again battling horrifying demons at a secluded cabin in the woods. After discovering an audiotape left by a college professor that contains voices reading from the Book of the Dead, Ash's girlfriend Linda (Denise Bixler) becomes possessed by evil spirits that are awakened by the voices on the tape. Ash soon discovers there is no escaping the woods.",88,89,Horror|Comedy,SamRaimi,SamRaimi,"Mar13,1987","Aug29,2000",$2.6M,1h25m,RosebudReleasingCorporation,EvilDead
exorcist,4.5,0.0,4.4,4.533333333333333,0.0,5.0,15.0,The Exorcist,"One of the most profitable horror movies ever made, this tale of an exorcism is based loosely on actual events. When young Regan (Linda Blair) starts acting odd -- levitating, speaking in tongues -- her worried mother (Ellen Burstyn) seeks medical help, only to hit a dead end. A local priest (Jason Miller), however, thinks the girl may be seized by the devil. The priest makes a request to perform an exorcism, and the church sends in an expert (Max von Sydow) to help with the difficult job.",84,87,Horror,WilliamFriedkin,WilliamPeterBlatty,"Dec26,1973","Nov23,1999",$441.4M,2h2m,WarnerBros.Pictures,TheExorcist
the_farewell_2019,4.025,0.5,4.625,3.875,1.0,4.0,16.0,The Farewell,Billi's family returns to China under the guise of a fake wedding to stealthily say goodbye to their beloved matriarch -- the only person that doesn't know she only has a few weeks to live.,97,87,Comedy|Drama,LuluWang,LuluWang,"Aug2,2019","Aug27,2019",$17.7M,1h40m,A24,
fargo,4.475,0.0,4.375,4.5,0.0,4.0,16.0,Fargo,"""Fargo"" is a reality-based crime drama set in Minnesota in 1987. Jerry Lundegaard (William H. Macy) is a car salesman in Minneapolis who has gotten himself into debt and is so desperate for money that he hires two thugs (Steve Buscemi), (Peter Stormare) to kidnap his own wife. Jerry will collect the ransom from her wealthy father (Harve Presnell), paying the thugs a small portion and keeping the rest to satisfy his debts. The scheme collapses when the thugs shoot a state trooper.",94,93,Comedy|Crime|Drama|Mystery&thriller,JoelCoen,JoelCoen|EthanCoen,"Mar15,1996","Aug1,2006",$24.5M,1h37m,GramercyPictures,
fast_five,3.95,0.0,4.0,3.923076923076923,0.0,7.0,13.0,Fast Five,"Ever since ex-cop Brian O'Conner (Paul Walker) and Mia Torretto (Jordana Brewster) broke her brother Dom (Vin Diesel) out of custody, they've traveled border to border to evade authorities. In Rio de Janeiro, they must do one final job before they can gain their freedom for good. Assembling their elite team of car racers, Brian and Dom know they must confront the corrupt businessman who wants them dead, before the federal agent (Dwayne Johnson) on their trail finds them.",78,83,Action,JustinLin,ChrisMorgan,"Apr29,2011","Oct4,2011",$209.8M,2h10m,UniversalPictures,TheFastandtheFurious
fast_times_at_ridgemont_high,4.175,0.0,3.888888888888889,4.409090909090909,0.0,9.0,11.0,Fast Times at Ridgemont High,"Stacy Hamilton (Jennifer Jason Leigh) is a pretty, but inexperienced, teen interested in dating. Given advice by her uninhibited friend, Linda Barrett (Phoebe Cates), Stacy gets trapped in a love triangle with nice guy Mark Ratner (Brian Backer) and his more assured buddy Mike Damone (Robert Romanus). Meanwhile, Stacy's classmate Jeff Spicoli (Sean Penn), who lives for surfing and being stoned, faces off against Mr. Hand (Ray Walston), a strict teacher who has no time for the slacker's antics.",78,80,Comedy,AmyHeckerling,CameronCrowe,"Aug13,1982","Sep14,2004",,1h30m,MCA|MCA/UniversalHomeVideo|MCA/UniversalPictures[us],
fight_club,4.675,0.0,4.6,4.7,0.0,5.0,15.0,Fight Club,"A depressed man (Edward Norton) suffering from insomnia meets a strange soap salesman named Tyler Durden (Brad Pitt) and soon finds himself living in his squalid house after his perfect apartment is destroyed. The two bored men form an underground club with strict rules and fight other men who are fed up with their mundane lives. Their perfect partnership frays when Marla (Helena Bonham Carter), a fellow support group crasher, attracts Tyler's attention.",79,96,Mystery&thriller|Drama,DavidFincher,ChuckPalahniuk|JimUhls,"Oct15,1999","Oct14,2003",$37.0M,2h19m,20thCenturyFox,
fish_tank,3.45,0.0,3.875,3.34375,0.0,4.0,16.0,Fish Tank,"Mia (Katie Jarvis) is a rebellious teenager on the verge of being kicked out of school. Her hard-partying mother, Joanne (Kierston Wareing), neglects Mia's welfare in favor of her own, and her younger sister (Rebecca Griffiths) hangs out with a much older crowd. Sparks fly between Mia and Connor (Michael Fassbender), Joanne's new boyfriend, and he encourages Mia to pursue her interest in dance. As the boundaries of the relationships become blurred, Mia and Joanne compete for Connor's affection.",91,79,Drama,AndreaArnold,AndreaArnold,"Jan15,2010","Jun8,2010",$373.1K,2h4m,IFCFilms,
forbidden_planet,4.425,0.0,5.0,4.394736842105263,0.0,1.0,19.0,Forbidden Planet,"In this sci-fi classic, a spacecraft travels to the distant planet Altair IV to discover the fate of a group of scientists sent there decades earlier. When Commander John J. Adams (Leslie Nielsen) and his crew arrive, they discover only two people: Dr. Morbius (Walter Pidgeon) and his daughter, Altaira (Anne Francis), who was born on the remote planet. Soon, Adams begins to uncover the mystery of what happened on Altair IV, and why Morbius and Altaira are the sole survivors.",96,85,Sci-fi,FredM.Wilcox,WilliamShakespeare|IrvingBlock|CyrilHume,"Mar15,1956","Apr18,2000",,1h38m,Metro-Goldwyn-Mayer|CriterionCollection,
four_weddings_and_a_funeral,3.475,0.0,3.25,3.5714285714285716,0.0,6.0,14.0,Four Weddings and a Funeral,"Lovable Englishman Charles (Hugh Grant) and his group of friends seem to be unlucky in love. When Charles meets a beautiful American named Carrie (Andie MacDowell) at a wedding, he thinks his luck may have changed. But, after one magical night, Carrie returns to the States, ending what might have been. As Charles and Carrie's paths continue to cross -- over a handful of nuptials and one funeral -- he comes to believe they are meant to be together, even if their timing always seems to be off.",96,74,Romance|Comedy,MikeNewell,RichardCurtis,"Mar9,1994","Dec19,2000",$49.3M,1h56m,MGM/UAHomeEntertainmentInc.|GramercyPictures,
french_connection,4.0,0.0,3.8333333333333335,4.071428571428571,0.0,6.0,14.0,The French Connection,"New York Detective ""Popeye"" Doyle (Gene Hackman) and his partner (Roy Scheider) chase a French heroin smuggler.",96,87,Crime|Drama|Mystery&thriller,WilliamFriedkin,ErnestTidyman,"Oct7,1971","Feb1,2005",,1h44m,20thCenturyFox,
frida,3.8,0.0,4.25,3.6875,0.0,4.0,16.0,Frida,"This is the true story of Frida Kahlo (Salma Hayek) and her husband Diego Rivera (Alfred Molina), the larger-than-life painters who became the most acclaimed artists in Mexican history, and whose tempestuous love affair, landmark journeys to America, and outrageous personalities made them legendary.",76,85,Biography|Drama,JulieTaymor,HaydenHerrera|ClancySigal|DianeLake|GregoryNava|AnnaThomas,"Oct25,2002","Jun10,2003",$25.8M,2h3m,MiramaxFilms,
gandhi,4.45,5.0,4.625,4.40625,1.0,4.0,16.0,Gandhi,"This acclaimed biographical drama presents major events in the life of Mohandas Gandhi (Ben Kingsley), the beloved Indian leader who stood against British rule over his country. Dedicated to the concept of nonviolent resistance, Gandhi is initially dismissed by English officials, including the influential Lord Irwin (John Gielgud), but eventually he and his cause become internationally renowned, and his gatherings of passive protest move India towards independence.",89,92,Biography|History|Drama,RichardAttenborough,JohnBriley,"Nov30,1982","Feb20,2007",,3h8m,ColumbiaPictures,
gattaca,4.55,0.0,4.5,4.552631578947368,0.0,1.0,19.0,Gattaca,"Vincent Freeman (Ethan Hawke) has always fantasized about traveling into outer space, but is grounded by his status as a genetically inferior ""in-valid."" He decides to fight his fate by purchasing the genes of Jerome Morrow (Jude Law), a laboratory-engineered ""valid."" He assumes Jerome's DNA identity and joins the Gattaca space program, where he falls in love with Irene (Uma Thurman). An investigation into the death of a Gattaca officer (Gore Vidal) complicates Vincent's plans.",82,87,Sci-fi,AndrewNiccol,AndrewNiccol,"Oct24,1997","May22,2001",$12.3M,1h52m,ColumbiaTriStarHomeVideo|ColumbiaTristar|ColumbiaPictures|SonyPicturesEntertainment,
get_out,4.6,5.0,4.666666666666667,4.571428571428571,1.0,6.0,14.0,Get Out,"Now that Chris and his girlfriend, Rose, have reached the meet-the-parents milestone of dating, she invites him for a weekend getaway with Missy and Dean. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries leads him to a truth that he never could have imagined.",98,86,Horror|Mystery&thriller|Comedy,JordanPeele,JordanPeele,"Feb24,2017","May23,2017",$176.0M,1h44m,UniversalPictures,
ghost_in_the_shell,4.325,0.0,3.375,4.5625,0.0,4.0,16.0,Ghost in the Shell,"In this Japanese animation, cyborg federal agent Maj. Motoko Kusanagi (Mimi Woods) trails ""The Puppet Master"" (Abe Lasser), who illegally hacks into the computerized minds of cyborg-human hybrids. Her pursuit of a man who can modify the identity of strangers leaves Motoko pondering her own makeup and what life might be like if she had more human traits. With her partner (Richard George), she corners the hacker, but her curiosity about her identity sends the case in an unforeseen direction.",95,89,Action|Sci-fi|Anime,MamoruOshii,KazunoriItô,,"Dec15,2010",,1h25m,,
