title,Average,HateSpeech,Offensive,Pure,HateSpeechnum,Offensivenum,Purenum,full_title,synopsis,tomatometerscore,audiencescore,genre,director,writer,theater_date,dvd/streaming_date,box_office,runtime,Distributor,Collection
airplane,4.2,3.5,4.375,4.083333333333333,1.0,8.0,12.0,Airplane!,"This spoof comedy takes shots at the slew of disaster movies that were released in the 70s. When the passengers and crew of a jet are incapacitated due to food poisoning, a rogue pilot with a drinking problem must cooperate with his ex-girlfriend turned stewardess to bring the plane to a safe landing.",97,89,Comedy,JimAbrahams|DavidZucker|JerryZucker,JimAbrahams|DavidZucker|JerryZucker,"Jan1,1980","Dec13,2005",,1h28m,ParamountPictures,
akira,4.775,5.0,5.0,4.7631578947368425,2.0,1.0,19.0,Akira,"In 1988 the Japanese government drops an atomic bomb on Tokyo after ESP experiments on children go awry. In 2019, 31 years after nuking the city, Kaneda, a bike gang leader, tries to save his friend Tetsuo from a secret government project. He battles against anti-government activists, greedy politicians, irresponsible scientists and a powerful military leader until Tetsuo's supernatural power suddenly manifest. A final battle is fought in Tokyo Olympiad exposing the experiment's secrets.",91,90,Sci-fi|Anime,KatsuhiroOhtomo,IzouHashimoto|KatsuhiroOhtomo,"Jan1,1988","Feb24,2009",$390.0K,2h4m,StreamlinePictures,
alien,4.675,0.0,4.6,4.7,0.0,5.0,15.0,Alien,"In deep space, the crew of the commercial starship Nostromo is awakened from their cryo-sleep capsules halfway through their journey home to investigate a distress call from an alien vessel. The terror begins when the crew encounters a nest of eggs inside the alien ship. An organism from inside an egg leaps out and attaches itself to one of the crew, causing him to fall into a coma.",98,94,Sci-fi|Horror,RidleyScott,DanO'Bannon|RonaldShusett,"May25,1979","Jun1,1999",$81.1M,1h57m,20thCenturyFox,Alien
all_about_my_mother,4.125,0.0,3.75,4.21875,0.0,4.0,16.0,All About My Mother,New friends help a woman (Cecilia Roth) struggling to get her life in order after her son's (Eloy Azorín) death.,98,93,Drama|Comedy,PedroAlmodóvar,PedroAlmodóvar,"Nov24,1999","Nov3,2009",$8.3M,1h39m,SonyPicturesClassics|SonyPicturesEntertainment,
all_the_presidents_men,4.3,4.5,4.75,4.25,1.0,2.0,18.0,All the President's Men,"Two green reporters and rivals working for the Washington Post, Bob Woodward (Robert Redford) and Carl Bernstein (Dustin Hoffman), research the botched 1972 burglary of the Democratic Party Headquarters at the Watergate apartment complex. With the help of a mysterious source, code-named Deep Throat (Hal Holbrook), the two reporters make a connection between the burglars and a White House staffer. Despite dire warnings about their safety, the duo follows the money all the way to the top.",94,92,Drama,AlanJ.Pakula,CarlBernstein|BobWoodward|WilliamGoldman,"Jan1,1976","Jan18,2005",,2h18m,WarnerBros.Pictures,
almost_famous,4.125,0.0,3.65,4.6,0.0,10.0,10.0,Almost Famous,"Set in 1973, it chronicles the funny and often poignant coming of age of 15-year-old William, an unabashed music fan who is inspired by the seminal bands of the time. When his love of music lands him an assignment from Rolling Stone magazine to interview the up-and-coming band Stillwater -- fronted by lead guitar Russell Hammond and lead singer Jeff Bebe William embarks on an eye-opening journey with the band's tour, despite the objections of his protective mother.",89,92,Comedy|Drama|Music,CameronCrowe,CameronCrowe,"Sep15,2000","May22,2006",$32.5M,2h2m,DreamWorksSKG,
amadeus,4.65,0.0,4.666666666666667,4.642857142857143,0.0,6.0,14.0,Amadeus,"Wolfgang Amadeus Mozart (Tom Hulce) is a remarkably talented young Viennese composer who unwittingly finds a fierce rival in the disciplined and determined Antonio Salieri (F. Murray Abraham). Resenting Mozart for both his hedonistic lifestyle and his undeniable talent, the highly religious Salieri is gradually consumed by his jealousy and becomes obsessed with Mozart's downfall, leading to a devious scheme that has dire consequences for both men.",89,95,Biography|History|Drama,MilosForman,PeterShaffer,"Nov13,1984","Sep24,2002",,2h38m,OrionPictures|WarnerHomeVídeo,
amelie,4.35,0.0,3.0,4.5,0.0,2.0,18.0,Amélie,"""Amélie"" is a fanciful comedy about a young woman who discretely orchestrates the lives of the people around her, creating a world exclusively of her own making. Shot in over 80 Parisian locations, acclaimed director Jean-Pierre Jeunet (""Delicatessen""; ""The City of Lost Children"") invokes his incomparable visionary style to capture the exquisite charm and mystery of modern-day Paris through the eyes of a beautiful ingenue.",89,95,Romance|Comedy,Jean-PierreJeunet,,"Nov2,2001","Jul16,2002",$33.2M,2h1m,MiramaxFilms,
amour_2013,3.8,0.0,4.625,3.59375,0.0,4.0,16.0,Amour,"Retired music teachers Georges (Jean-Louis Trintignant) and Anne (Emmanuelle Riva) have spent their lives devoted to their careers and to each other. Their relationship faces its greatest challenge when Anne suffers a debilitating stroke. Though Georges himself suffers from the aches and infirmities of old age, he bravely ignores his own discomfort to take care of his wife, and is determined to keep his promise to her that she never go back to the hospital.",93,82,Drama,MichaelHaneke,MichaelHaneke,"Dec19,2012","Aug20,2013",$3.7M,2h7m,SonyPicturesClassics,
american_in_paris,3.25,0.0,2.6666666666666665,3.3529411764705883,0.0,3.0,17.0,An American in Paris,"Jerry Mulligan (Gene Kelly) is an American ex-GI who stays in post-war Paris to become a painter, and falls for the gamine charms of Lise Bouvier (Leslie Caron). However, his paintings come to the attention of Milo Roberts, a rich American heiress, who is interested in more than just art.",95,79,Musical|Romance,VincenteMinnelli,AlanJayLerner,"Nov9,1951","Dec2,2004",,1h53m,Metro-Goldwyn-Mayer,
annie_hall,4.175,0.0,4.071428571428571,4.230769230769231,0.0,7.0,13.0,Annie Hall,"Comedian Alvy Singer (Woody Allen) examines the rise and fall of his relationship with struggling nightclub singer Annie Hall (Diane Keaton). Speaking directly to the audience in front of a bare background, Singer reflects briefly on his childhood and his early adult years before settling in to tell the story of how he and Annie met, fell in love, and struggled with the obstacles of modern romance, mixing surreal fantasy sequences with small moments of emotional drama.",97,92,Romance|Comedy,WoodyAllen,WoodyAllen|MarshallBrickman,"Jan1,1977","Jul5,2000",,1h33m,UnitedArtists,
apocalypse_now,4.7,0.0,5.0,4.625,0.0,4.0,16.0,Apocalypse Now,"In Vietnam in 1970, Captain Willard (Martin Sheen) takes a perilous and increasingly hallucinatory journey upriver to find and terminate Colonel Kurtz (Marlon Brando), a once-promising officer who has reportedly gone completely mad. In the company of a Navy patrol boat filled with street-smart kids, a surfing-obsessed Air Cavalry officer (Robert Duvall), and a crazed freelance photographer (Dennis Hopper), Willard travels further and further into the heart of darkness.",98,94,War|Drama,FrancisFordCoppola,JosephConrad|JohnMilius|FrancisFordCoppola|MichaelHerr,"Aug15,1979","May18,2010",$78.8M,2h33m,ParamountPictures|MiramaxFilms|UnitedArtists,
avengers_endgame,3.85,0.0,3.5,3.9375,0.0,4.0,16.0,Avengers: Endgame,"Adrift in space with no food or water, Tony Stark sends a message to Pepper Potts as his oxygen supply starts to dwindle. Meanwhile, the remaining Avengers -- Thor, Black Widow, Captain America and Bruce Banner -- must figure out a way to bring back their vanquished allies for an epic showdown with Thanos -- the evil demigod who decimated the planet and the universe.",94,90,Action|Adventure|Fantasy|Sci-fi,AnthonyRusso|JoeRusso,ChristopherMarkus|StephenMcFeely,"Apr26,2019","Jul30,2019",$858.4M,3h1m,WaltDisney,MarvelCinematicUniverse
back_to_the_future,4.775,0.0,4.833333333333333,4.764705882352941,0.0,3.0,17.0,Back to the Future,"In this 1980s sci-fi classic, small-town California teen Marty McFly (Michael J. Fox) is thrown back into the '50s when an experiment by his eccentric scientist friend Doc Brown (Christopher Lloyd) goes awry. Traveling through time in a modified DeLorean car, Marty encounters young versions of his parents (Crispin Glover, Lea Thompson), and must make sure that they fall in love or he'll cease to exist. Even more dauntingly, Marty has to return to his own time and save the life of Doc Brown.",97,94,Comedy|Sci-fi|Fantasy|Adventure,RobertZemeckis,RobertZemeckis|BobGale,"Jul3,1985","Aug17,2010",$247.0K,1h56m,UniversalPictures,
badlands,3.7,0.0,4.0,3.5,0.0,8.0,12.0,Badlands,"Inspired by real-life killers Charles Starkweather and Caril-Ann Fugate, this tale of crime and love begins in a dead-end town. Teenage girl Holly (Sissy Spacek) angers her father (Warren Oates) when she begins dating an older and rebellious boy (Martin Sheen). After a conflict between Holly and her father erupts in murder, the young lovers are forced to flee. In the ensuing crime spree, they journey through the Midwest to the Badlands of Montana, eluding authorities along the way.",97,90,Crime|Drama,TerrenceMalick,TerrenceMalick,"Oct15,1973","Apr27,1999",,1h35m,WarnerBros.Pictures,
beauty_and_the_beast_1991,4.55,0.0,5.0,4.4375,0.0,4.0,16.0,Beauty and the Beast,"An arrogant young prince (Robby Benson) and his castle's servants fall under the spell of a wicked enchantress, who turns him into the hideous Beast until he learns to love and be loved in return. The spirited, headstrong village girl Belle (Paige O'Hara) enters the Beast's castle after he imprisons her father Maurice (Rex Everhart). With the help of his enchanted servants, including the matronly Mrs. Potts (Angela Lansbury), Belle begins to draw the cold-hearted Beast out of his isolation.",93,91,Kids&family|Fantasy|Animation,GaryTrousdale|KirkWise,LindaWoolverton,"Nov13,1991","Aug6,2002",$219.0M,1h24m,BVInternationalPictures[no]|BuenaVistaPictures,
being_john_malkovich,4.2,0.0,4.4375,4.041666666666667,0.0,8.0,12.0,Being John Malkovich,"In this quirky cult-favorite comedy, unemployed New York City puppeteer Craig Schwartz (John Cusack) reluctantly takes a temp job as a filing clerk for the eccentric Dr. Lester (Orson Bean). While at work, Craig discovers a portal that leads into the mind of renowned actor John Malkovich. When he lets his attractive co-worker Maxine (Catherine Keener) in on the secret, they begin both an unusual business scheme and an odd relationship that involves Craig's restless wife, Lotte (Cameron Diaz).",94,87,Comedy,SpikeJonze,CharlieKaufman,"Oct29,1999","Jan27,2009",$22.9M,1h52m,USAFilms,
being_there,3.85,0.0,3.4166666666666665,4.035714285714286,0.0,6.0,14.0,Being There,"Simple-minded Chance (Peter Sellers), a gardener who has resided in the Washington, D.C., townhouse of his wealthy employer for his entire life and been educated only by television, is forced to vacate his home when his boss dies. While wandering the streets, he encounters business mogul Ben Rand (Melvyn Douglas), who assumes Chance to be a fellow upper-class gentleman. Soon Chance is ushered into high society, and his unaffected gardening wisdom makes him the talk of the town.",95,92,Comedy,HalAshby,JerzyKosinski,"Dec19,1979","Feb5,2002",,2h10m,UnitedArtists|WarnerBros.,
best_years_of_our_lives,4.6,0.0,5.0,4.529411764705882,0.0,3.0,17.0,The Best Years of Our Lives,"Fred, Al and Homer are three World War II veterans facing difficulties as they re-enter civilian life. Fred (Dana Andrews) is a war hero who, unable to compete with more highly skilled workers, has to return to his low-wage soda jerk job. Bank executive Al (Fredric March) gets into trouble for offering favorable loans to veterans. After losing both hands in the war, Homer (Harold Russell) returns to his loving fiancée, but must struggle to adjust.",97,93,Drama,WilliamWyler,MacKinlayKantor|RobertE.Sherwood,"Nov21,1946","Jul18,2000",,2h52m,RKORadioPictures,
better_luck_tomorrow,3.675,0.0,3.625,3.6875,0.0,4.0,16.0,Better Luck Tomorrow,"An accomplished high school student, Ben (Parry Shen) seems to excel at almost everything except winning over his dream girl, Stephanie (Karin Anna Cheung). When he begins an unlikely friendship with trouble-seeking tough guy Daric (Roger Fan), Ben becomes involved in petty crime that gets increasingly dangerous, with his various illegal ventures extending to include Stephanie and her wealthy beau, Steve (John Cho). Can these restless teens curb their criminal activities before it's too late?",81,79,Crime|Drama,JustinLin,JustinLin|FabianMarquez|ErnestoForonda,"Apr11,2003","Sep30,2003",$3.8M,1h41m,ParamountPictures,
bicycle_thieves,4.225,0.0,4.333333333333333,4.205882352941177,0.0,3.0,17.0,Bicycle Thieves,"Unemployed Antonio Ricci (Lamberto Maggiorani) is elated when he finally finds work hanging posters around war-torn Rome. His wife, Maria (Lianella Carell), sells the family's bed linens to retrieve Antonio's bicycle from the pawnshop so he can take the job. However, disaster strikes when Antonio's bicycle is stolen, and his new job is doomed unless he can find the thief. With the help of his lively son, Bruno (Enzo Staiola), Antonio combs the city, growing increasingly desperate for justice.",99,94,Drama,VittorioDeSica,LuigiBartolini|CesarZavattini|SusoCecchid'Amico,"Oct24,1948","Aug12,2003",$332.9K,1h30m,,
the_big_lebowski,4.3,0.0,4.5,4.264705882352941,0.0,3.0,17.0,The Big Lebowski,"Jeff Bridges plays Jeff Lebowski who insists on being called ""the Dude,"" a laid-back, easygoing burnout who happens to have the same name as a millionaire whose wife owes a lot of dangerous people a whole bunch of money -- resulting in the Dude having his rug soiled, sending him spiraling into the Los Angeles underworld.",79,93,Comedy,JoelCoen,EthanCoen|JoelCoen,"Mar6,1998","Oct18,2005",$17.4M,1h57m,GramercyPictures,
the_big_sick,4.1,0.0,4.1,4.1,0.0,5.0,15.0,The Big Sick,"Kumail is a Pakistani comic, who meets an American graduate student named Emily at one of his stand-up shows. As their relationship blossoms, he soon becomes worried about what his traditional Muslim parents will think of her. When Emily suddenly comes down with an illness that leaves her in a coma, Kumail finds himself developing a bond with her deeply concerned mother and father.",98,88,Romance|Comedy,MichaelShowalter,EmilyV.Gordon|KumailNanjiani,"Jul14,2017","Sep19,2017",$42.9M,2h0m,AmazonStudios|LionsgateFilms,
birdman_2014,3.8,0.0,3.9,3.7666666666666666,0.0,5.0,15.0,Birdman or (The Unexpected Virtue of Ignorance),"Former cinema superhero Riggan Thomson (Michael Keaton) is mounting an ambitious Broadway production that he hopes will breathe new life into his stagnant career. It's risky, but he hopes that his creative gamble will prove that he's a real artist and not just a washed-up movie star. As opening night approaches, a castmate is injured, forcing Riggan to hire an actor (Edward Norton) who is guaranteed to shake things up. Meanwhile, Riggan must deal with his girlfriend, daughter and ex-wife.",91,78,Comedy|Drama,AlejandroGonzálezIñárritu,AlejandroGonzálezIñárritu|NicolásGiacobone|AlexanderDinelaris|ArmandoBo,"Jan16,2015","Feb17,2015",$42.3M,1h59m,FoxSearchlight,
black_hawk_down,4.25,3.5,4.25,4.25,1.0,2.0,18.0,Black Hawk Down,"The film takes place in 1993 when the U.S. sent special forces into Somalia to destabilize the government and bring food and humanitarian aid to the starving population. Using Black Hawk helicopters to lower the soldiers onto the ground, an unexpected attack by Somalian forces brings two of the helicopters down immediately. From there, the U.S. soldiers must struggle to regain their balance while enduring heavy gunfire.",77,88,War|Drama,RidleyScott,MarkBowden|KenNolan,"Jan18,2002","Jun11,2002",$108.6M,2h24m,ColumbiaTriStarHomeVideo|RevolutionStudios|ColumbiaPictures|ColumbiaTristar|SvenskFilmindustri(SF)AB|CascadeFilm|SonyPicturesEntertainment,
black_orpheus,3.725,0.0,3.5,3.8214285714285716,0.0,6.0,14.0,Black Orpheus,"Young lovers Orfeu (Breno Mello) and Eurydice (Marpessa Dawn) run through the favelas of Rio during Carnaval, on the lam from a hitman dressed like Death (Ademar Da Silva) and Orfeu's vengeful fiancée Mira (Lourdes de Oliveira) and passing between moments of fantasy and stark reality. This impressionistic retelling of the Greek legend of Orpheus and Eurydice introduced bossa nova to the world with its soundtrack by young Brazilian composers Luiz Bonfá and Antonio Carlos Jobim.",87,86,Drama,MarcelCamus,ViniciusdeMoraes|MarcelCamus|JacquesViot,,"Jun8,1999",,1h40m,,
black_panther_2018,3.725,0.0,2.5,3.9411764705882355,0.0,3.0,17.0,Black Panther,"After the death of his father, T'Challa returns home to the African nation of Wakanda to take his rightful place as king. When a powerful enemy suddenly reappears, T'Challa's mettle as king -- and as Black Panther -- gets tested when he's drawn into a conflict that puts the fate of Wakanda and the entire world at risk. Faced with treachery and danger, the young king must rally his allies and release the full power of Black Panther to defeat his foes and secure the safety of his people.",96,79,Action|Adventure|Fantasy,RyanCoogler,RyanCoogler|JoeRobertCole,"Feb16,2018","May2,2018",$700.2M,2h14m,WaltDisney,MarvelCinematicUniverse
blade_runner,4.2,0.0,4.875,4.03125,0.0,4.0,16.0,Blade Runner,"Deckard (Harrison Ford) is forced by the police Boss (M. Emmet Walsh) to continue his old job as Replicant Hunter. His assignment: eliminate four escaped Replicants from the colonies who have returned to Earth. Before starting the job, Deckard goes to the Tyrell Corporation and he meets Rachel (Sean Young), a Replicant girl he falls in love with.",89,91,Sci-fi|Mystery&thriller,RidleyScott,HamptonFancher|DavidWebbPeoples|PhilipK.Dick,"Jun25,1982","Oct30,2001",$3.9M,2h2m,WarnerBros.Pictures,BladeRunner
blazing_saddles,4.55,0.0,4.611111111111111,4.5,0.0,9.0,11.0,Blazing Saddles,"In this satirical take on Westerns, crafty railroad worker Bart (Cleavon Little) becomes the first black sheriff of Rock Ridge, a frontier town about to be destroyed in order to make way for a new railroad. Initially, the people of Rock Ridge harbor a racial bias toward their new leader. However, they warm to him after realizing that Bart and his perpetually drunk gunfighter friend (Gene Wilder) are the only defense against a wave of thugs sent to rid the town of its population.",89,91,Comedy|Western,MelBrooks,AndrewBergman|AndrewBergman|MelBrooks|RichardPryor|NormanSteinberg|AlanUger,"Feb7,1974","May15,2007",,1h33m,WarnerBros.Pictures,
boogie_nights,3.95,0.0,4.0,3.9444444444444446,0.0,2.0,18.0,Boogie Nights,"In the San Fernando Valley in 1977, teenage busboy Eddie Adams (Mark Wahlberg) gets discovered by porn director Jack Horner (Burt Reynolds), who transforms him into adult-film sensation Dirk Diggler. Brought into a supportive circle of friends, including fellow actors Amber Waves (Julianne Moore), Rollergirl (Heather Graham) and Reed Rothchild (John C. Reilly), Dirk fulfills all his ambitions, but a toxic combination of drugs and egotism threatens to take him back down.",94,89,Drama,PaulThomasAnderson,PaulThomasAnderson,"Oct10,1997","May8,2007",$26.4M,2h32m,NewLineCinema|CriterionCollection,
boys_dont_cry,3.9,0.0,4.166666666666667,3.7857142857142856,0.0,6.0,14.0,Boys Don't Cry,"Young female-to-male transgender Brandon Teena (Hilary Swank) leaves his hometown under threat when his ex-girlfriend's brother discovers that he's biologically female. Resettling in the small town of Falls City, Nebraska, Brandon falls for Lana (Chloë Sevigny), an aspiring singer, and begins to plan for their future together. But when her ex-convict friends, John (Peter Sarsgaard) and Tom (Brendan Sexton III), learn Brandon's secret, things change very quickly.",90,87,Biography|Drama|Lgbtq+,KimberlyPeirce,KimberlyPeirce|AndyBienen,"Sep2,1999","Apr18,2000",$11.5M,1h59m,20thCenturyFoxHomeEntertainment|Fox,
boyz_n_the_hood,4.025,0.0,2.8333333333333335,4.235294117647059,0.0,3.0,17.0,Boyz N the Hood,"Tre (Cuba Gooding Jr.) is sent to live with his father, Furious Styles (Larry Fishburne), in tough South Central Los Angeles. Although his hard-nosed father instills proper values and respect in him, and his devout girlfriend Brandi (Nia Long) teaches him about faith, Tre's friends Doughboy (Ice Cube) and Ricky (Morris Chestnut) don't have the same kind of support and are drawn into the neighborhood's booming drug and gang culture, with increasingly tragic results.",96,93,Drama,JohnSingleton,JohnSingleton,"Jul12,1991","Jan25,2001",$55.1M,1h52m,ColumbiaPictures|CriterionCollection,
breakfast_club,3.85,0.0,3.8,3.8666666666666667,0.0,5.0,15.0,The Breakfast Club,"Five high school students from different walks of life endure a Saturday detention under a power-hungry principal (Paul Gleason). The disparate group includes rebel John (Judd Nelson), princess Claire (Molly Ringwald), outcast Allison (Ally Sheedy), brainy Brian (Anthony Michael Hall) and Andrew (Emilio Estevez), the jock. Each has a chance to tell his or her story, making the others see them a little differently -- and when the day ends, they question whether school will ever be the same.",89,92,Comedy|Drama,JohnHughes,JohnHughes,"Feb15,1985","Sep16,2008",,1h32m,MCA/UniversalPictures[us],
breathless,3.675,3.5,3.5,3.6944444444444446,1.0,2.0,18.0,Breathless,"Petty thug Michel (Jean-Paul Belmondo) considers himself a suave bad guy in the manner of Humphrey Bogart, but panics and impulsively kills a policeman while driving a stolen car. On the lam, he turns to his aspiring journalist girlfriend, Patricia (Jean Seberg), hiding out in her Paris apartment while he tries to pull together enough money to get the pair to Italy. But when Patricia learns that her boyfriend is being investigated for murder, she begins to question her loyalties.",96,90,Crime|Drama,Jean-LucGodard,Jean-LucGodard|FrançoisTruffaut,"Feb7,1961","Jan7,2003",$47.1K,1h30m,,
bridesmaids_2011,3.7,0.0,3.25,4.15,0.0,10.0,10.0,Bridesmaids,"Annie (Kristen Wiig) is a single woman whose own life is a mess, but when she learns that her lifelong best friend, Lillian (Maya Rudolph), is engaged, she has no choice but to serve as the maid of honor. Though lovelorn and almost penniless, Annie, nevertheless, winds her way through the strange and expensive rituals associated with her job as the bride's go-to gal. Determined to make things perfect, she gamely leads Lillian and the other bridesmaids down the wild road to the wedding.",89,76,Comedy,PaulFeig,AnnieMumolo|KristenWiig,"May13,2011","Sep20,2011",$169.1M,2h5m,UniversalPictures,
bridge_on_the_river_kwai,4.325,0.0,2.6666666666666665,4.617647058823529,0.0,3.0,17.0,The Bridge on the River Kwai,"Adaptation of the Pierre Bouelle novel about POWs in Burma forced to build a bridge to aid the war effort of their Japanese captors. British and American officers plot to blow up the structure, but the commander of the bridge's construction has different plans.",96,93,War|Drama,DavidLean,PierreBoulle|MichaelWilson|CarlForeman,"Dec18,1957","Nov21,2000",,2h41m,ColumbiaPictures,
bridget_jones_diary,3.325,0.0,4.4,2.966666666666667,0.0,5.0,15.0,Bridget Jones's Diary,"At the start of the New Year, 32-year-old Bridget (Renée Zellweger) decides it's time to take control of her life -- and start keeping a diary. Now, the most provocative, erotic and hysterical book on her bedside table is the one she's writing. With a taste for adventure, and an opinion on every subject - from exercise to men to food to sex and everything in between - she's turning the page on a whole new life.",80,81,Romance|Comedy,SharonMaguire,RichardCurtis|AndrewDavies|HelenFielding,"Apr13,2001","Nov9,2004",$71.5M,1h32m,MiramaxFilms|UniversalPictures,BridgetJones
broadcast_news,3.925,0.0,3.857142857142857,3.9615384615384617,0.0,7.0,13.0,Broadcast News,"Intelligent satire of American television news. A highly strung news producer finds herself strangely attracted to a vapid anchorman even through she loathes everything he personifies. To make matters worse, her best friend, a talented but not particularly telegenic news reporter, is secretly in love with her.",98,79,Romance|Comedy,JamesL.Brooks,JamesL.Brooks,"Dec16,1987","Oct5,1999",$49.2M,2h12m,20thCenturyFox,
brokeback_mountain,4.4,0.5,4.833333333333333,4.323529411764706,1.0,3.0,17.0,Brokeback Mountain,"In 1963, rodeo cowboy Jack Twist (Jake Gyllenhaal) and ranch hand Ennis Del Mar (Heath Ledger) are hired by rancher Joe Aguirre (Randy Quaid) as sheep herders in Wyoming. One night on Brokeback Mountain, Jack makes a drunken pass at Ennis that is eventually reciprocated. Though Ennis marries his longtime sweetheart, Alma (Michelle Williams), and Jack marries a fellow rodeo rider (Anne Hathaway), the two men keep up their tortured and sporadic affair over the course of 20 years.",88,82,Romance|Drama|Lgbtq+,AngLee,LarryMcMurtry|DianaOssana,"Dec9,2005","Apr4,2006",$83.0M,2h14m,FocusFeatures,
cabaret,3.775,0.0,2.6666666666666665,3.9705882352941178,0.0,3.0,17.0,Cabaret,"In Berlin in 1931, American cabaret singer Sally Bowles (Liza Minnelli) meets British academic Brian Roberts (Michael York), who is finishing his university studies. Despite Brian's confusion over his sexuality, the pair become lovers, but the arrival of the wealthy and decadent playboy Maximilian von Heune (Helmut Griem) complicates matters for them both. This love triangle plays out against the rise of the Nazi party and the collapse of the Weimar Republic.",92,87,Musical,BobFosse,ChristopherIsherwood|JohnVanDruten|JoeMasteroff|JayPressonAllen,"Feb13,1972","Aug19,2003",,2h4m,AlliedArtistsPictures|WarnerHomeVídeo,
the_cabinet_of_dr_caligari,4.075,0.0,3.1666666666666665,4.464285714285714,0.0,6.0,14.0,The Cabinet of Dr. Caligari,"At a carnival in Germany, Francis (Friedrich Feher) and his friend Alan (Rudolf Lettinger) encounter the crazed Dr. Caligari (Werner Krauss). The men see Caligari showing off his somnambulist, Cesare (Conrad Veidt), a hypnotized man who the doctor claims can see into the future. Shockingly, Cesare then predicts Alan's death, and by morning his chilling prophecy has come true -- making Cesare the prime suspect. However, is Cesare guilty, or is the doctor controlling him?",96,89,Horror|Fantasy|Mystery&thriller,RobertWiene,HansJanowitz|CarlMayer,"Mar19,1921","Feb16,1999",,1h9m,GrapevineVideo|KinoVideo,
call_me_by_your_name,4.375,0.0,4.75,4.28125,0.0,4.0,16.0,Call Me by Your Name,"It's the summer of 1983, and precocious 17-year-old Elio Perlman is spending the days with his family at their 17th-century villa in Lombardy, Italy. He soon meets Oliver, a handsome doctoral student who's working as an intern for Elio's father. Amid the sun-drenched splendor of their surroundings, Elio and Oliver discover the heady beauty of awakening desire over the course of a summer that will alter their lives forever.",94,86,Romance|Drama|Lgbtq+,LucaGuadagnino,JamesIvory|LucaGuadagnino|WalterFasano,"Jan19,2018","Mar13,2018",$18.0M,2h12m,SonyPicturesClassics,
carol,4.4,5.0,3.5,4.5588235294117645,1.0,3.0,17.0,Carol,"Aspiring photographer Therese spots the beautiful, elegant Carol perusing the doll displays in a 1950s Manhattan department store. The two women develop a fast bond that becomes a love with complicated consequences.",94,74,Romance|Drama|Lgbtq+,ToddHaynes,PhyllisNagy,"Jan8,2016","Mar15,2016",$12.7M,1h58m,WeinsteinCo.,
casino_royale,4.575,0.0,4.8,4.5,0.0,5.0,15.0,Casino Royale,"After receiving a license to kill, British Secret Service agent James Bond (Daniel Craig) heads to Madagascar, where he uncovers a link to Le Chiffre (Mads Mikkelsen), a man who finances terrorist organizations. Learning that Le Chiffre plans to raise money in a high-stakes poker game, MI6 sends Bond to play against him, gambling that their newest ""00"" operative will topple the man's organization.",94,90,Action|Adventure|Mystery&thriller,MartinCampbell,NealPurvis|RobertWade|AnthonyWaye|IanFleming,"Nov17,2006","Mar13,2007",$167.0M,2h24m,SonyPicturesEntertainment,JamesBond007
children_of_men,4.35,0.0,4.375,4.34375,0.0,4.0,16.0,Children of Men,"When infertility threatens mankind with extinction and the last child born has perished, a disillusioned bureaucrat (Clive Owen) becomes the unlikely champion in the fight for the survival of Earth's population; He must face down his own demons and protect the planet's last remaining hope from danger.",92,85,Sci-fi|Mystery&thriller,AlfonsoCuarón,AlfonsoCuarón|DavidArata|TimothyJ.Sexton|HawkOstby|MarkFergus,"Dec25,2006","Sep23,2008",$35.3M,1h49m,UniversalPictures,
chinatown,4.475,0.0,4.5,4.470588235294118,0.0,3.0,17.0,Chinatown,"When Los Angeles private eye J.J. ""Jake"" Gittes (Jack Nicholson) is hired by Evelyn Mulwray to investigate her husband's activities, he believes it's a routine infidelity case. Jake's investigation soon becomes anything but routine when he meets the real Mrs. Mulwray (Faye Dunaway) and realizes he was hired by an imposter. Mr. Mulwray's sudden death sets Gittes on a tangled trail of corruption, deceit and sinister family secrets as Evelyn's father (John Huston) becomes a suspect in the case.",99,93,Crime|Drama,RomanPolanski,RobertTowne|RomanPolanski,"Jun20,1974","Nov23,1999",,2h11m,ParamountPictures,
city_of_god,4.75,5.0,4.375,4.84375,1.0,4.0,16.0,City of God,"In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket (Phellipe Haagensen) is a budding photographer who documents the increasing drug-related violence of his neighborhood. José ""Zé"" Pequeno (Douglas Silva) is an ambitious drug dealer who uses Rocket and his photos as a way to increase his fame as a turf war erupts with his rival, ""Knockout Ned"" (Leandro Firmino da Hora). The film was shot on location in Rio's poorest neighborhoods.",91,97,Crime|Drama,FernandoMeirelles,BráulioMantovani|PauloLins,"Jan17,2003","Jun8,2004",$7.6M,2h11m,MiramaxFilms,
cinema_paradiso,4.525,0.0,4.5,4.535714285714286,0.0,6.0,14.0,Cinema Paradiso,"Young Salvatore Di Vita (Salvatore Cascio) discovers the perfect escape from life in his war-torn Sicilian village: the Cinema Paradiso movie house, where projectionist Alfredo (Philippe Noiret) instills in the boy a deep love of films. When Salvatore grows up, falls in love with a beautiful local girl (Agnese Nano) and takes over as the Paradiso's projectionist, Alfredo must convince Salvatore to leave his small town and pursue his passion for filmmaking.",90,96,Drama,GiuseppeTornatore,GiuseppeTornatore,"Feb23,1988","Jan10,2006",$9.1M,2h3m,HBO|MiramaxFilms,
